Exon	Gene	HUGO	ExonNumber	PairwiseTissue	TissueSpecificity
ENSE00000980060	ENSG00000157168	NRG1	23	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001048318	ENSG00000159899	NPR2	39	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001476084	ENSG00000159899	NPR2	39	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001293707	ENSG00000176884	GRIN1	27	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001391020	ENSG00000148408	CACNA1B	58	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001177568	ENSG00000148408	CACNA1B	58	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001177571	ENSG00000148408	CACNA1B	58	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000638301	ENSG00000099250	NRP1	49	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001285349	ENSG00000180176	TH	25	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000936528	ENSG00000087470	DNM1L	22	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000936527	ENSG00000087470	DNM1L	22	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001472360	ENSG00000131095	GFAP	10	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000947003	ENSG00000006283	CACNA1G	40	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000951032	ENSG00000141837	CACNA1A	49	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000951011	ENSG00000141837	CACNA1A	49	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001247183	ENSG00000141837	CACNA1A	49	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000951043	ENSG00000141837	CACNA1A	49	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000951039	ENSG00000141837	CACNA1A	49	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
