Exon	Gene	HUGO	ExonNumber	PairwiseTissue	TissueSpecificity
ENSE00001491281	ENSG00000115705	TPO	40	brain2thyroid, colon2thyroid, heart2thyroid, kidney2thyroid, liver2thyroid, muscle2thyroid, pancreas2thyroid, skeletalMuscle2thyroid, spleen2thyroid, testis2thyroid	thyroid
ENSE00001363126	ENSG00000115705	TPO	40	brain2thyroid, colon2thyroid, heart2thyroid, kidney2thyroid, liver2thyroid, muscle2thyroid, pancreas2thyroid, skeletalMuscle2thyroid, spleen2thyroid, testis2thyroid	thyroid
ENSE00001521193	ENSG00000139219	COL2A1	94	brain2thyroid, colon2thyroid, heart2thyroid, kidney2thyroid, liver2thyroid, muscle2thyroid, pancreas2thyroid, skeletalMuscle2thyroid, spleen2thyroid, testis2thyroid	thyroid
ENSE00001521188	ENSG00000139219	COL2A1	94	brain2thyroid, colon2thyroid, heart2thyroid, kidney2thyroid, liver2thyroid, muscle2thyroid, pancreas2thyroid, skeletalMuscle2thyroid, spleen2thyroid, testis2thyroid	thyroid
ENSE00001504112	ENSG00000211448	DIO2	6	brain2thyroid, colon2thyroid, heart2thyroid, kidney2thyroid, liver2thyroid, muscle2thyroid, pancreas2thyroid, skeletalMuscle2thyroid, spleen2thyroid, testis2thyroid	thyroid
ENSE00000789744	ENSG00000010932	FMO1	10	brain2colon, brain2heart, brain2kidney, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid, colon2liver, heart2liver, kidney2liver, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	
ENSE00001236373	ENSG00000082701	GSK3B	11	brain2colon, brain2kidney, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid, colon2heart, colon2liver, heart2kidney, heart2muscle, heart2pancreas, heart2skeletalMuscle, heart2spleen, heart2testis, heart2thyroid, kidney2liver, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	
ENSE00000920061	ENSG00000135447	PPP1R1A	9	brain2colon, brain2heart, brain2kidney, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid, colon2liver, heart2liver, kidney2liver, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	
ENSE00000920062	ENSG00000135447	PPP1R1A	9	brain2colon, brain2heart, brain2kidney, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid, colon2liver, heart2liver, kidney2liver, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	
ENSE00000918007	ENSG00000089060	SLC24A6	16	brain2colon, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid, colon2heart, colon2kidney, heart2liver, heart2muscle, heart2pancreas, heart2skeletalMuscle, heart2spleen, heart2testis, heart2thyroid, kidney2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2spleen, kidney2testis, kidney2thyroid	
ENSE00000867228	ENSG00000131979	GCH1	9	brain2colon, brain2heart, brain2kidney, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid, colon2liver, heart2liver, kidney2liver, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	
ENSE00001521954	ENSG00000131979	GCH1	9	brain2colon, brain2heart, brain2kidney, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid, colon2liver, heart2liver, kidney2liver, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	
ENSE00001521926	ENSG00000131979	GCH1	9	brain2colon, brain2heart, brain2kidney, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid, colon2liver, heart2liver, kidney2liver, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	
ENSE00001002783	ENSG00000131979	GCH1	9	brain2colon, brain2heart, brain2kidney, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid, colon2liver, heart2liver, kidney2liver, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	
ENSE00001137645	ENSG00000100678	SLC8A3	15	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2spleen, brain2testis, brain2thyroid, colon2skeletalMuscle, heart2skeletalMuscle, kidney2skeletalMuscle, liver2skeletalMuscle, muscle2skeletalMuscle, pancreas2skeletalMuscle, skeletalMuscle2spleen, skeletalMuscle2testis, skeletalMuscle2thyroid	
ENSE00001216179	ENSG00000137872	SEMA6D	24	brain2colon, brain2liver, brain2muscle, brain2pancreas, brain2spleen, brain2testis, brain2thyroid, colon2heart, colon2kidney, colon2skeletalMuscle, heart2liver, heart2muscle, heart2pancreas, heart2spleen, heart2testis, heart2thyroid, kidney2liver, kidney2muscle, kidney2pancreas, kidney2spleen, kidney2testis, kidney2thyroid, liver2skeletalMuscle, muscle2skeletalMuscle, pancreas2skeletalMuscle, skeletalMuscle2spleen, skeletalMuscle2testis, skeletalMuscle2thyroid	
ENSE00001505845	ENSG00000137872	SEMA6D	24	brain2colon, brain2liver, brain2muscle, brain2pancreas, brain2spleen, brain2testis, brain2thyroid, colon2heart, colon2kidney, colon2skeletalMuscle, heart2liver, heart2muscle, heart2pancreas, heart2spleen, heart2testis, heart2thyroid, kidney2liver, kidney2muscle, kidney2pancreas, kidney2spleen, kidney2testis, kidney2thyroid, liver2skeletalMuscle, muscle2skeletalMuscle, pancreas2skeletalMuscle, skeletalMuscle2spleen, skeletalMuscle2testis, skeletalMuscle2thyroid	
ENSE00001216198	ENSG00000137872	SEMA6D	24	brain2colon, brain2liver, brain2pancreas, brain2spleen, brain2testis, brain2thyroid, colon2heart, colon2kidney, colon2muscle, colon2skeletalMuscle, heart2liver, heart2pancreas, heart2spleen, heart2testis, heart2thyroid, kidney2liver, kidney2pancreas, kidney2spleen, kidney2testis, kidney2thyroid, liver2muscle, liver2skeletalMuscle, muscle2pancreas, muscle2spleen, muscle2testis, muscle2thyroid, pancreas2skeletalMuscle, skeletalMuscle2spleen, skeletalMuscle2testis, skeletalMuscle2thyroid	
ENSE00001216205	ENSG00000137872	SEMA6D	24	brain2colon, brain2liver, brain2muscle, brain2pancreas, brain2spleen, brain2testis, brain2thyroid, colon2heart, colon2kidney, colon2skeletalMuscle, heart2liver, heart2muscle, heart2pancreas, heart2spleen, heart2testis, heart2thyroid, kidney2liver, kidney2muscle, kidney2pancreas, kidney2spleen, kidney2testis, kidney2thyroid, liver2skeletalMuscle, muscle2skeletalMuscle, pancreas2skeletalMuscle, skeletalMuscle2spleen, skeletalMuscle2testis, skeletalMuscle2thyroid	
ENSE00001333264	ENSG00000186567	CEACAM19	8	brain2colon, brain2heart, brain2liver, brain2muscle, brain2pancreas, brain2spleen, brain2testis, brain2thyroid, colon2kidney, colon2skeletalMuscle, heart2kidney, heart2skeletalMuscle, kidney2liver, kidney2muscle, kidney2pancreas, kidney2spleen, kidney2testis, kidney2thyroid, liver2skeletalMuscle, muscle2skeletalMuscle, pancreas2skeletalMuscle, skeletalMuscle2spleen, skeletalMuscle2testis, skeletalMuscle2thyroid	
ENSE00000893996	ENSG00000007047	MARK4	25	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2thyroid, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	
ENSE00001077439	ENSG00000187288	CIDEC	7	brain2colon, brain2heart, colon2kidney, colon2liver, colon2muscle, colon2pancreas, colon2skeletalMuscle, colon2spleen, colon2testis, colon2thyroid, heart2kidney, heart2liver, heart2muscle, heart2pancreas, heart2skeletalMuscle, heart2spleen, heart2testis, heart2thyroid	
ENSE00001532166	ENSG00000160191	PDE9A	33	brain2heart, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2testis, brain2thyroid, colon2heart, colon2liver, colon2muscle, colon2pancreas, colon2skeletalMuscle, colon2testis, colon2thyroid, heart2kidney, heart2spleen, kidney2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2testis, kidney2thyroid, liver2spleen, muscle2spleen, pancreas2spleen, skeletalMuscle2spleen, spleen2testis, spleen2thyroid	
ENSE00001050451	ENSG00000160191	PDE9A	33	brain2heart, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2testis, brain2thyroid, colon2heart, colon2liver, colon2muscle, colon2pancreas, colon2skeletalMuscle, colon2testis, colon2thyroid, heart2kidney, heart2spleen, kidney2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2testis, kidney2thyroid, liver2spleen, muscle2spleen, pancreas2spleen, skeletalMuscle2spleen, spleen2testis, spleen2thyroid	
ENSE00001050441	ENSG00000160191	PDE9A	33	brain2heart, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2testis, brain2thyroid, colon2heart, colon2liver, colon2muscle, colon2pancreas, colon2skeletalMuscle, colon2testis, colon2thyroid, heart2kidney, heart2spleen, kidney2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2testis, kidney2thyroid, liver2spleen, muscle2spleen, pancreas2spleen, skeletalMuscle2spleen, spleen2testis, spleen2thyroid	
ENSE00001484557	ENSG00000160191	PDE9A	33	brain2heart, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2testis, brain2thyroid, colon2heart, colon2liver, colon2muscle, colon2pancreas, colon2skeletalMuscle, colon2testis, colon2thyroid, heart2kidney, heart2spleen, kidney2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2testis, kidney2thyroid, liver2spleen, muscle2spleen, pancreas2spleen, skeletalMuscle2spleen, spleen2testis, spleen2thyroid	
ENSE00001050439	ENSG00000160191	PDE9A	33	brain2heart, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2testis, brain2thyroid, colon2heart, colon2liver, colon2muscle, colon2pancreas, colon2skeletalMuscle, colon2testis, colon2thyroid, heart2kidney, heart2spleen, kidney2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2testis, kidney2thyroid, liver2spleen, muscle2spleen, pancreas2spleen, skeletalMuscle2spleen, spleen2testis, spleen2thyroid	
ENSE00001050448	ENSG00000160191	PDE9A	33	brain2heart, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2testis, brain2thyroid, colon2heart, colon2liver, colon2muscle, colon2pancreas, colon2skeletalMuscle, colon2testis, colon2thyroid, heart2kidney, heart2spleen, kidney2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2testis, kidney2thyroid, liver2spleen, muscle2spleen, pancreas2spleen, skeletalMuscle2spleen, spleen2testis, spleen2thyroid	
ENSE00001337120	ENSG00000160191	PDE9A	33	brain2heart, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2testis, brain2thyroid, colon2heart, colon2liver, colon2muscle, colon2pancreas, colon2skeletalMuscle, colon2testis, colon2thyroid, heart2kidney, heart2spleen, kidney2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2testis, kidney2thyroid, liver2spleen, muscle2spleen, pancreas2spleen, skeletalMuscle2spleen, spleen2testis, spleen2thyroid	
ENSE00000664434	ENSG00000105325	FZR1	14	brain2heart, brain2liver, brain2spleen, colon2heart, colon2liver, colon2spleen, heart2kidney, heart2muscle, heart2pancreas, heart2skeletalMuscle, heart2testis, heart2thyroid, kidney2liver, kidney2spleen, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2testis, liver2thyroid, muscle2spleen, pancreas2spleen, skeletalMuscle2spleen, spleen2testis, spleen2thyroid	
ENSE00000664435	ENSG00000105325	FZR1	14	brain2heart, brain2liver, brain2spleen, colon2heart, colon2liver, colon2spleen, heart2kidney, heart2muscle, heart2pancreas, heart2skeletalMuscle, heart2testis, heart2thyroid, kidney2liver, kidney2spleen, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2testis, liver2thyroid, muscle2spleen, pancreas2spleen, skeletalMuscle2spleen, spleen2testis, spleen2thyroid	
ENSE00001462105	ENSG00000148584	A1CF	19	brain2kidney, brain2liver, colon2kidney, colon2liver, heart2kidney, heart2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2spleen, kidney2testis, kidney2thyroid, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	
ENSE00001435651	ENSG00000148584	A1CF	19	brain2kidney, brain2liver, colon2kidney, colon2liver, heart2kidney, heart2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2spleen, kidney2testis, kidney2thyroid, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	
ENSE00001435515	ENSG00000148584	A1CF	19	brain2kidney, brain2liver, colon2kidney, colon2liver, heart2kidney, heart2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2spleen, kidney2testis, kidney2thyroid, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2spleen, liver2testis, liver2thyroid	
ENSE00001277478	ENSG00000102780	DGKH	36	brain2kidney, brain2testis, colon2kidney, colon2testis, heart2kidney, heart2testis, kidney2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2spleen, kidney2thyroid, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	
ENSE00000657605	ENSG00000100429	HDAC10	21	brain2kidney, brain2liver, brain2spleen, colon2kidney, colon2liver, colon2spleen, heart2kidney, heart2liver, heart2spleen, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2testis, kidney2thyroid, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2testis, liver2thyroid, muscle2spleen, pancreas2spleen, skeletalMuscle2spleen, spleen2testis, spleen2thyroid	
ENSE00001199958	ENSG00000163606	CD200R1	7	brain2liver, brain2spleen, colon2liver, colon2spleen, heart2liver, heart2spleen, kidney2liver, kidney2spleen, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2testis, liver2thyroid, muscle2spleen, pancreas2spleen, skeletalMuscle2spleen, spleen2testis, spleen2thyroid	
ENSE00001309242	ENSG00000183337	BCOR	20	brain2liver, brain2spleen, colon2liver, colon2spleen, heart2liver, heart2spleen, kidney2liver, kidney2spleen, liver2muscle, liver2pancreas, liver2skeletalMuscle, liver2testis, liver2thyroid, muscle2spleen, pancreas2spleen, skeletalMuscle2spleen, spleen2testis, spleen2thyroid	
ENSE00001233153	ENSG00000118194	TNNT2	19	brain2muscle, brain2skeletalMuscle, colon2muscle, colon2skeletalMuscle, heart2muscle, heart2skeletalMuscle, kidney2muscle, kidney2skeletalMuscle, liver2muscle, liver2skeletalMuscle, muscle2pancreas, muscle2spleen, muscle2testis, muscle2thyroid, pancreas2skeletalMuscle, skeletalMuscle2spleen, skeletalMuscle2testis, skeletalMuscle2thyroid	
ENSE00001444197	ENSG00000118194	TNNT2	19	brain2muscle, brain2skeletalMuscle, colon2muscle, colon2skeletalMuscle, heart2muscle, heart2skeletalMuscle, kidney2muscle, kidney2skeletalMuscle, liver2muscle, liver2skeletalMuscle, muscle2pancreas, muscle2spleen, muscle2testis, muscle2thyroid, pancreas2skeletalMuscle, skeletalMuscle2spleen, skeletalMuscle2testis, skeletalMuscle2thyroid	
ENSE00001374791	ENSG00000015475	BID	18	brain2pancreas, brain2spleen, colon2pancreas, colon2spleen, heart2pancreas, heart2spleen, kidney2pancreas, kidney2spleen, liver2pancreas, liver2spleen, muscle2pancreas, muscle2spleen, pancreas2skeletalMuscle, pancreas2testis, pancreas2thyroid, skeletalMuscle2spleen, spleen2testis, spleen2thyroid	
